Issue Id,Summary,Description,Date Created,Date Modified,Issue type,Milestone,Status,Resolution,Reporter,Labels,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments
11,Can't build examples,"I'm having a crack at a zeromq transport and I'm having some trouble building the examples.

`DemoTransport.hs` refers to `Network.Transport.MVar` which doesn't seem to exist. When commenting DemoTransport from the make file (and get rid of the "".exe"" suffixes) I get:

```
ghc -package-conf ../network-transport-zmq/cabal-dev/packages-7.4.2.conf -O2 -rtsopts -threaded --make  DemoProcess.hs -o DemoProcess
[1 of 1] Compiling Main             ( DemoProcess.hs, DemoProcess.o )

DemoProcess.hs:7:31:
    Module `Network.Transport.TCP' does not export `mkTransport'

DemoProcess.hs:7:44:
    Module `Network.Transport.TCP' does not export `TCPConfig(..)'
make: *** [DemoProcess] Error 1
```

Are the examples still the preferred method to play around with the library or should I be looking at other things now, like benchmarks and tests?

Cheers,
Ben",07/02/12 07:44:33 AM,07/25/12 09:56:37 AM,Task,,Closed,Fixed,boothead,,"Comment:edsko:07/02/12 09:12:46 AM:

Hi Ben,

The directories benchmarks/, doc/, examples/ and network-transport-pipes/ are very out of date. I will clean this up soon, as we hope to do a first release on Hackage some time soon. 

If you're interested in examples for Network.Transport, have a look at the tests in network-transport/tests. Similarly, for examples of the Cloud Haskell layer look at distributed-process/tests. 

Also, feel free to ping me at _HaskellTransport on freenode if you have any questions.","Comment:boothead:07/02/12 09:23:19 AM:

Ok, thanks for the info Edsko. I'll ping you next time I run into trouble.","Comment:billdozr:07/25/12 09:47:23 AM:

In absence of the examples at this moment, I have built a simple ping/pong example utilizing the SimpleLocalnet for remote node discovery. However, the closure function referenced from my spawn never seems to get called and hence the receiveWait never returns. There are no errors raised at runtime either.

I'd appreciate any input in finding the cause.
https://gist.github.com/3175290

Regards,
-Alen","Comment:edsko:07/25/12 09:50:41 AM:

Hi Alan,

You are passing initRemoteTable, which does not include the remotable functions that you create in your module. Instead, you should pass (__remoteTable initRemoteTable) as an argument when initializing Cloud Haskell.

Incidentally, the Hackage documentation contains some self-contained examples, and you can find more examples in the test/ directory.","Comment:edsko:07/25/12 09:50:42 AM:

closed","Comment:billdozr:07/25/12 09:56:24 AM:

Thanks Edsko for pointing out the cause. Much appreciate it and thanks for the great work you have been putting into this project.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,build problems: time-1.4 -> 1.2.0.5 (with ghc-7.4.2),"I am not able to install distributed-process alongside other packages (e.g., snap).
It seems this is due to version conflicts with random and time.

cabal install distributed-process

Resolving dependencies...
In order, the following would be installed:
random-1.0.1.1 (reinstall) changes: time-1.4 -> 1.2.0.5
distributed-process-0.2.1 (reinstall) changes: random-1.0.1.1 added

when I put '--force-reinst', then others appear broken (red with ghc-pkg list),
when I force-reinstall those, then distributed-process is broken.

",07/15/12 04:31:53 PM,07/16/12 09:37:22 AM,Task,,Closed,Fixed,jwaldmann,,"Comment:edsko:07/16/12 09:37:22 AM:

Thanks for the report. Fixed in 0.2.1.1 (relaxed the upper bound on time). On a fresh install of ghc 7.4.2 with cabal 0.14, after a cabal install snap, cabal install distributed-process proceeds without installing any further dependencies.","Comment:edsko:07/16/12 09:37:22 AM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,please improve (API) doc for newcomers,"I just want to play around with distributed-process 
(and later I want my students to do this).

So I find it very useful to have a working example in the docs.
http://hackage.haskell.org/packages/archive/distributed-process-simplelocalnet/0.2.0.1/doc/html/Control-Distributed-Process-Backend-SimpleLocalnet.html

I can compile this (I put -threaded -rtsopts just out of habit, but
is it necessary? If so, the doc should say.) 

but for running,
I am missing a sentence that says how this program should be used.
I guess, start slave(s) and master - but on the same machine?

I do not understand what the second cmd line argument (""host"") is used for.
When I start slave and master on one machine,
and use ""localhost"" for host, it does not seem to work, but it does with ""127.0.0.1""
(so perhaps this is an issue with my resolver).

I do not understand whether this example is supposed to work with slaves/master 
on different machines. If so, then again I do not see what ""host"" arguments to use.

The API doc of ""findPeers"" does not help:
""findPeers t sends out a who's there? request,...""
since it does not say to whom this message is sent.

Sure, these are very basic questions, but if the package is 
going to be used widely,
then I guess they will come up over and over again.
If you think the answer would be too long to put into the API doc,
then put it elsewhere, and refer to it.

Thanks, Johannes.",07/16/12 08:54:22 PM,07/17/12 12:14:22 PM,Task,,Closed,Fixed,jwaldmann,,"Comment:edsko:07/17/12 10:35:53 AM:

Hi Johannes,

Does https://github.com/haskell-distributed/distributed-process/commit/c7d7f5b75eb79e3eeaf56f97fb6418fac61c38f2 answer your questions?","Comment:edsko:07/17/12 10:38:40 AM:

.. and https://github.com/haskell-distributed/distributed-process/commit/9c6cf0d61bd7b285caa6d7340d9d35fab6e8200a","Comment:jwaldmann:07/17/12 12:14:22 PM:

Yes, great. (Both.) I appreciate the wording ""broadcast"" since this refers to a known concept.","Comment:jwaldmann:07/17/12 12:14:22 PM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"please improve API docs for: Closure, Static","(sorry Edsko, here's another beginner's request)

From reading the API docs I guess that  Control.Distributed.Process.call
is one basic method to ""run a process remotely and wait for it to reply"".
(I guess ""to reply"" is ""execute 'return x' in the Process monad?)

The type of spawn contains both Static and Closure,
and when I track their API docs, I am just seeing data decls with hidden
constructors. What I'm missing is a note (right there) about how such objects
should be created - or how the construction can be avoided.
",07/17/12 06:46:24 PM,07/18/12 07:56:09 AM,Task,,Closed,Fixed,jwaldmann,,"Comment:jwaldmann:07/17/12 06:54:33 PM:

I see that the answer is in Control.Distributed.Process.Closure ,
but still a reference would be nice.","Comment:edsko:07/18/12 07:56:06 AM:

closed","Comment:edsko:07/18/12 07:56:09 AM:

No problem. It's useful to know what parts of the documentation are lacking or confusing. As you already found out, there is a detailed discussion of Static and Clousre in Control.Distributed.Process.Closure. I have added a cross-reference:

https://github.com/haskell-distributed/distributed-process/commit/6274bb24d1ee736b09e9eb4add7d54f571a862a5

Let me know if the explanation in Control.Distributed.Process.Closure is unclear anywhere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,typo in API doc of C.D.P.Closure ,"functionDict should be functionSDict?

https://github.com/haskell-distributed/distributed-process/blob/master/distributed-process/src/Control/Distributed/Process/Closure.hs#L125

",07/18/12 07:36:11 PM,07/19/12 09:30:38 AM,Task,,Closed,Fixed,jwaldmann,,"Comment:edsko:07/19/12 09:30:37 AM:

Fixed https://github.com/haskell-distributed/distributed-process/commit/ef0ef4dc6d3aaaf59a270fcc193fdeec8fea3a93. Thanks.","Comment:edsko:07/19/12 09:30:38 AM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"consider adding a self-contained (compilable, runnable) example for ""call"" to C.D.P.Closure","I understand that with every library, you can only do so much
with the API doc - at some point users just have to read
the underlying paper to get the fundamental abstractions right, and there's no shortcut.

But - here for me the problem is not so much the abstraction,
but rather the technicalities of the work-arounds for not having ""static"".

With technicalities, examples are quite helpful.
You have them distributed over the API docs, that's fine,
but a minimal complete example would be a welcome addition.
I tried for the better part of an hour until arriving at the following. Is it idiomatic?

```
{-# language TemplateHaskell #-}

import System.Environment (getArgs)
import Control.Distributed.Process
import Control.Distributed.Process.Closure
import Control.Distributed.Process.Node (initRemoteTable)
import Control.Distributed.Process.Backend.SimpleLocalnet

compute :: Integer -> Process Integer
compute n = do
    liftIO $ putStrLn ""the slave does a computation""
    return $ n + 1

$(remotable ['compute])

master :: Backend -> [NodeId] -> Process ()
master backend slaves = do
  liftIO . putStrLn $ ""Slaves: "" ++ show slaves
  case slaves of
      [] -> liftIO $ putStrLn ""no slaves""
      s : _ -> do
           out <- call $(functionSDict 'compute) s 
                $  $(mkClosure 'compute) ( 10 ::Integer)
           liftIO $ putStrLn $ show out
  terminateAllSlaves backend

main :: IO ()
main = do
  args <- getArgs
  let rtable :: RemoteTable
      rtable = Main.__remoteTable $ initRemoteTable
  case args of
    [""master"", host, port] -> do
      backend <- initializeBackend host port rtable
      startMaster backend (master backend)
    [""slave"", host, port] -> do
      backend <- initializeBackend host port rtable
      startSlave backend
```
",07/18/12 07:54:09 PM,07/21/12 03:21:51 PM,Task,,Closed,Fixed,jwaldmann,,"Comment:edsko:07/19/12 09:42:54 AM:

Hi Johannes,

No need to qualify every request :) I have tried to document every function that I export but I understand that some high level documentation is missing -- but it's a little hard sometimes to see exactly what parts need more examples. So if you're having difficulties, just let me know and I'll try to fix it :) Feel free also to ping me on _haskell, I'm usually there (though perhaps not, as it happens, over the next week days as I'm travelling and working odd hours).

So it's a reasonable request and I'll make a note to add an example along the lines that you suggest. To answer your specific question: yes, your example is idiomatic, with one exception: if you call `remotable` on a function `f :: T1 -> T2` then 

    $(functionSDict 'f) :: Static (SerializableDict T1)

In your example you have a function `compute :: Integer -> Process Integer`. `call` needs a dictionary for the result of this process (`Integer`), but you're passing the dictionary that was created for the process argument. It happens to work because in your case the argument happens to be of the same type as the result of the process (`Integer`), but it would fail if, for instance, your function would have type `isPrime :: Integer -> Process Bool`.

Now `functionSDict` is for convenience only, and you can easily define your own serializable dictionaries:

    sdictInteger :: SerializableDict Integer
    sdictInteger = SerializableDict

    $(mkStatic 'sdictInteger) :: Static (SerializableDict Integer)

but perhaps the case you cite is common enough to warrant a function `functionTDict` such that if `f :: T1 -> Process T2` then

    $(functionTDict 'f) :: Static (SerializableDict T2)

I need to give that some thought, but I think I'll add that, and then add an example.","Comment:edsko:07/21/12 03:21:51 PM:

Hi Johannes,

I have added functionTDict and improved the documentation of C.D.P.Closure, and included a small self-contained example along the lines you suggested. Please reopen the issue the documentation is unclear.

Thanks for the report.

Edsko","Comment:edsko:07/21/12 03:21:51 PM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,bring back genericGet and genericPut?,"I don't know the technical implications of this, but I think functions like `genericGet` and [`genericPut`](http://hackage.haskell.org/packages/archive/remote/0.1.1/doc/html/Remote.html#v:genericPut) would make things jolly convenient for tutorial writers.",07/19/12 06:38:29 AM,08/07/12 07:28:58 AM,Task,,Closed,Fixed,kowey,,"Comment:edsko:07/19/12 09:28:15 AM:

I think this it outside the scope of Cloud Haskell proper. There are lots of packages for deriving Binary instances, for example http://hackage.haskell.org/package/binary-generic-0.1 (based on Data), http://hackage.haskell.org/packages/archive/binary-derive/0.1.0/doc/html/Data-Binary-Derive.html or http://hackage.haskell.org/packages/archive/generic-binary/1.0.0/doc/html/Data-Binary-Generic.html (based on Generic). Please open this issue if there is a good reason why those packages won't suffice.","Comment:edsko:07/19/12 09:28:15 AM:

closed","Comment:edsko:08/06/12 08:06:03 PM:

FWIW, I've submitted a pull request to make binary-generic work. Once that has been merged and released to Hackage I would recommend using binary-generic to define Binary instances.","Comment:edsko:08/07/12 07:28:58 AM:

This is now released as binary-generic-0.2.1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,include the test source files in the sdist tarball,tests pass on gentoo amd64 with ghc 7.4.2 and 7.5.20120718,07/22/12 01:39:52 AM,07/22/12 11:37:46 AM,Task,,Closed,Fixed,markwright,,"Comment:edsko:07/22/12 11:37:34 AM:

Referenced in commit:
https://github.com/haskell-distributed/distributed-process/1de977ad592988e4dc21ada69f08819f73eaa0b1
","Comment:edsko:07/22/12 11:37:34 AM:

merged","Comment:edsko:07/22/12 11:37:34 AM:

closed","Comment:edsko:07/22/12 11:37:46 AM:

Thanks for the patch.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,locked thread in spawn,"This worked in the 'remote' Cloudhaskell package (and works on Erlang)

https://github.com/dysinger/distributed-process-broken/commit/8614e137765805688b0e7014a15d8d4362c63d7c

https://github.com/dysinger/distributed-process-broken/blob/master/Main.hs

https://www.evernote.com/shard/s17/sh/ccb0150e-7873-4dd9-af31-d5cb5a19f067/14471ddd5383dbc9096727543bb2a05b
",07/31/12 05:26:48 AM,07/31/12 10:17:13 AM,Task,,Closed,Fixed,dysinger,,"Comment:edsko:07/31/12 07:50:38 AM:

I don't think the issue is that we cannot spawn a closure on master -- when I run your example with just a single node (i.e. the master only), and stick in a threadDelay to make sure the master does not exit before it gets a chance to print the log message, it prints the result of isPrime and then shows the same MVar error that you're showing. I'll investigate.","Comment:dysinger:07/31/12 07:51:34 AM:

Awesome.","Comment:edsko:07/31/12 08:00:12 AM:

It's related to spawnLink (as opposed to spawn). ","Comment:dysinger:07/31/12 08:03:54 AM:

Yes I saw it in every variant/extension of spawn too.","Comment:edsko:07/31/12 10:12:23 AM:

Right, so: the new implementation of Cloud Haskell follows the semantics described in ""A Unified Semantics for a Future Erlang"". In this semantics, linking makes no distinction between regular termination and abnormal termination. In other words, if you link to a process, and that process dies normally, you die too. This is appropriate for slave processes that link to their masters, where the master should never terminate (masters should monitor their slaves, not link to them). In your example, you are linking to the processes that compute the prime numbers. As soon as this process terminates, the process that spawned it will die too.

The ""thread blocked indefinitely"" exception you were seeing *was* a bug, however. The backend starts the master process using ""runProcess"", which waits for a process to finish -- but it didn't take into account abnormal termination and would beb blocked indefinitely when the process threw an exception. I have fixed this and released it as 0.2.2.0 to Hackage.

If you run your example again (and insert a threadDelay to give the spanwed processes a chance to do anytihng) you will find that the program will now terminate quietly, possibly after or possibly before the log message. 

So in summary: you shouldn't use spawnLink here, but you did find a bug. Thanks for the report :)","Comment:edsko:07/31/12 10:12:23 AM:

closed","Comment:dysinger:07/31/12 10:17:13 AM:

Awesome thanks for the update.  I was mostly concerned because I didn't see the same behavior in the original 'remote' package (it waits for the spawnLink'ed processes to finish before the main exits) and also the mvar thread lock message.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Minor changes/fixes and resurrecting ping/pong benchmark.,"I haven't committed in a long while so I thought I'd run this through you first, Edsko.

",08/07/12 04:24:19 PM,08/10/12 04:33:00 PM,Task,,Closed,Fixed,rrnewton,,"Comment:edsko:08/10/12 04:33:00 PM:

Cherry-picked ac37e8e and a5daa9a as agreed.","Comment:edsko:08/10/12 04:33:00 PM:

closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
